"id","category_id","category_name"
1,1,"Exhibit"
2,2,"Modular"
3,3,"Display"
4,46051,""
5,46057,""
6,34,"Featured Products"
7,51,"Banner Stands"
8,60,"Tabletop Displays"
9,61,"Sign Holders & Displays"
10,63,"Accessories"
11,69,"10x10 Trade Show Displays"
12,70,"10x20 Trade Show Displays"
13,71,"20x20 Trade Show Displays and Booths"
14,86,"Hanging Banners & Signs"
15,148,"Fabric Display"
16,159,"Counters & Podiums"
17,161,"Shipping & Display Cases"
18,187,"Outdoor Event Party Displays"
19,275,"Tower Displays"
20,739,"Showroom Displays"
21,1291,"TV, iPad & Tablet Stands"
22,1309,"Motorized Turntables & Ceiling Motors"
23,1604,"Digital Kiosks"
24,1963,"Backlit Illuminated Displays"
25,1967,"Modular Fabric Light Box Displays"
26,2014,"Custom Exhibits & Displays"
27,7260,"10x30 Trade Show Displays"
28,7565,"Design Services"
29,7695,"Lumiere Backlit Displays"
30,8142,"Backlit Embrace Tension Fabric Displays"
31,8143,"Igniter Backlit  Light Box Displays"
32,8146,"VAIL Backlit SEG Fabric Frames"
33,9736,"WaveLight LED Backlit Displays"
34,10284,"Our Work"
35,11508,"Step & Repeat Banner Displays"
36,15466,"HOLD"
37,31205,"One Choice"
38,33728,"Wavelight Displays"
39,33729,"Wavelight Tower"
40,33730,"Wavelight Counter"
41,33731,"SEG Displays"
42,33732,"Lumiere Displays"
43,33733,"Pop-Up Displays"
44,33734,"SEG Fabric Displays"
45,33735,"EZ Fabric Displays"
46,33736,"Formulate Displays"
47,33737,"Waveline Displays"
48,33738,"4-Sided Box Displays"
49,33740,"Hanging Banner"
50,33741,"Retractable Banners"
51,33742,"Tension Fabric Banners"
52,33743,"Outdoor Banners"
53,33744,"Custom Exhibits"
54,33745,"Custom Booth Designs"
55,33746,"Backlit Wavelight Towers"
56,33747,"Fabric Arches"
57,33748,"Fabric Towers"
58,33750,"Waveline Counters"
59,33751,"Custom Case to Counters"
60,33752,"Printed Table Throw"
61,33753,"Table Top Fabric Displays"
62,46048,"Flooring"
63,46070,"LED Video Walls"
64,46075,"8ft Trade Show Displays"
65,46082,"Timberline Exhibits"
66,46183,"Sego8 Displays"
67,46186,"Client Exhibits On Display"
68,141,"Truss Trade Show Exhibits"
69,149,"Formulate Tension Fabric Displays"
70,171,"Slim Tension Fabric Displays"
71,223,"Waveline BrandStand Tension Fabric Displays"
72,260,"Backdrops & Backwalls"
73,401,"Backlit Displays"
74,1304,"Wave Tube Tension Fabric Displays"
75,1653,"SEG Tension Fabric Displays"
76,1660,"EuroFit Tension Fabric Displays"
77,1972,"Waveline Makitso Tension Fabric Displays"
78,2009,"EZ Tube Fabric Displays"
79,4011,"Merchandiser Exhibits"
80,6041,"4-Sided Tension Fabric Displays"
81,7942,"Modulate Tension Fabric Displays"
82,21880,"Vector Frame SEG Displays"
83,24605,"Pop-Up Tension Fabric Displays"
84,25931,"Hybrid Modular Exhibits"
85,34578,"Backlit WaveLight Casonara Displays"
86,121,"Retractable Banner Stands"
87,122,"Telescopic Retail Banner Stands"
88,125,"Telescopic Banner Stand Displays"
89,183,"Outdoor Banner Stands"
90,268,"Accessories"
91,743,"Boulevard Banners Brackets"
92,1327,"Tension Fabric Banner Stands"
93,8079,"Banner Stand - Replacement Graphics"
94,8080,"Banner Stand - Hardware Only"
95,11879,"X Frame & L Frame Banner Stands"
96,30217,"TableTop Banner Stand Displays"
97,30233,"Crowd Control Barriers"
98,46099,"FrameWorx Banner Stands"
99,1315,"Circle Hanging Banner Displays (Replacement Graphics)"
100,1328,"Circle Hanging Banner Displays (Hardware Only)"
101,1683,"05ft Diameter Circle Hanging Banner Displays"
102,1684,"06ft Diameter Circle Hanging Banner Displays"
103,1685,"08ft Diameter Circle Hanging Banner Displays"
104,1686,"10ft Diameter Circle Hanging Banner Displays"
105,1687,"12ft Diameter Circle Hanging Banner Displays"
106,1688,"14ft Diameter Circle Hanging Banner Displays"
107,1689,"16ft Diameter Circle Hanging Banner Displays"
108,1690,"18ft Diameter Circle Hanging Banner Displays"
109,1691,"20ft Diameter Circle Hanging Banner Displays"
110,1692,"15ft Diameter Circle Hanging Banner Displays"
111,11137,"03ft & 4ft Diameter Circle Hanging Banner Displays"
112,1319,"Square Hanging Banners - Replacement Graphics"
113,1457,"Square Hanging Banners - Hardware Only"
114,1702,"05ft wide Square Hanging Banner Displays"
115,1703,"08ft wide Square Hanging Banner Displays"
116,1704,"10ft wide Square Hanging Banner Displays"
117,1705,"12ft wide Square Hanging Banner Displays"
118,1706,"14ft wide Square Hanging Banner Displays"
119,1707,"15ft wide Square Hanging Banner Displays"
120,1708,"16ft wide Square Hanging Banner Displays"
121,1709,"18ft wide Square Hanging Banner Displays"
122,1710,"20ft wide Square Hanging Banner Displays"
123,1615,"Tapered Square Banner Hanging Signs Replacement Fabric"
132,77,"10ft Triangle Hanging Banner Displays"
135,1329,"Triangle Hanging Banners Hardware"
144,265,"12ft x 6ft Rectangle Hanging Banner Displays"
153,30014,"Multi-Panel Fabric Displays"
162,188,"Outdoor Signs"
171,22817,"Drop In Frames"
180,2635,"Printing - Custom"
190,8217,"Truss Exhibits"
199,14477,"Truss Exhibits"
209,46106,"Modular Exhibits"
219,54,"Square (Tapered) Banner Hanging Displays"
229,740,"Ellipse Overhead Hanging Signs"
239,884,"Hanging Accessories"
