"product_id","product_code","category_id"
22318,"AD121",516
22321,"AD131",516
22319,"AD125",518
22322,"AD135",518
22324,"AD141",516
22334,"BD1009",46160
22327,"BD1001",46160
22325,"AD145",518
22330,"BD1003",46160
22336,"BD1011",46160
22337,"BD1013",46160
55,"BD1015",46161
53,"BD1017",46160
56,"BD1019",46160
58,"BD1021",46160
64,"BD1023",46160
22332,"BD1007",46160
22331,"BD1005",46161
74,"BD1025",46161
104,"BD1027",46160
144,"BD1029",46160
57,"BD103",31652
59,"BD1031",46160
60,"BD1033",46160
61,"BD1035",46161
62,"BD1037",46160
65,"BD1039",46160
66,"BD1041",46160
67,"BD1042",46159
68,"BD1043",46160
69,"BD1045",46161
70,"BD1046",46159
71,"BD1047",46160
72,"BD1048",46159
73,"BD1049",46160
76,"BD1200",46103
77,"BD1201",46122
79,"BD1203",46122
80,"BD1204",46158
81,"BD1205",46158
82,"BD1206",46103
83,"BD1208",46103
84,"BD1210",46103
85,"BD1211",46122
87,"BD1213",46122
88,"BD1215",46158
90,"BD1221",46122
92,"BD1223",46122
93,"BD1225",46158
95,"BD1231",46122
97,"BD1233",46122
98,"BD1235",46158
99,"BD1240",46103
22389,"BD1241",46122
102,"BD1243",46122
103,"BD1245",46158
105,"BD1302",46103
106,"BD1303",46122
107,"BD1305",46158
253,"BD1312",46103
108,"BD1313",46122
109,"BD1314",46158
110,"BD1315",46158
111,"BD1318",46103
113,"BD1350",46103
114,"BD1360",46103
115,"BD1500",46123
116,"BD1501",46123
117,"BD1502",46123
118,"BD1503",46123
119,"BD1504",46123
120,"BD1505",46123
121,"BD1506",46123
122,"BD1507",46123
123,"BD1508",46123
124,"BD1509",46123
125,"BD1510",46123
126,"BD1511",46123
127,"BD1512",46123
129,"BD1513",46123
130,"BD1514",46123
131,"BD1515",46123
132,"BD1516",46123
133,"BD1517",46123
134,"BD1518",46123
135,"BD1519",46123
138,"BD2000",1635
139,"BD2001",6955
140,"BD2005",5922
142,"BD706",46125
143,"BD707",46125
145,"BD708",46125
146,"BD709",46125
147,"BD710",46124
148,"BD711",46126
149,"BD712",46124
150,"BD713",46126
151,"BD715",46127
152,"BD720",46124
153,"BD721",46126
154,"BD722",46124
155,"BD723",46126
156,"BD725",46127
157,"BD730",46124
158,"BD731",46126
159,"BD732",46124
160,"BD733",46126
161,"BD735",46127
162,"BD740",46124
163,"BD741",46126
164,"BD742",46124
165,"BD743",46126
166,"BD745",46127
168,"BD751",46126
169,"BD752",46124
170,"BD753",46126
171,"BD755",46127
173,"BD761",46126
175,"BD763",46126
176,"BD765",46127
178,"BD771",46126
180,"BD773",46126
181,"BD775",46127
183,"BD781",46126
185,"BD783",46126
186,"BD785",46127
188,"BD791",46126
190,"BD793",46126
191,"BD795",46127
193,"BD801",46126
195,"BD803",46126
196,"bd805",46127
198,"BD811",46126
200,"BD813",46126
201,"BD815",46127
203,"BD821",46126
205,"BD823",46126
206,"BD825",46127
208,"BD831",46126
210,"BD833",46126
211,"BD835",46127
213,"BD841",46126
215,"BD843",46126
216,"BD845",46127
217,"BD850",46124
218,"BD851",46126
219,"BD852",46124
220,"BD853",46126
221,"BD855",46127
223,"BD905",46119
225,"BD915",46119
227,"BD925",46119
229,"be0011",1658
236,"BE0022",1658
238,"BE0031",1318
240,"BE0033",1318
241,"BE0035",1329
243,"BE0037",1318
245,"BE0039",1318
247,"BE0041",1318
249,"BE0043",1318
250,"BE0045",1329
252,"BE0047",1318
255,"BE0049",1318
257,"BE0051",1318
259,"BE0053",1318
260,"BE0055",1329
262,"BE0057",1318
264,"BE0059",1318
266,"BE0061",1318
268,"BE0063",1318
269,"BE0065",1329
271,"BE0071",1318
273,"BE0073",1318
274,"BE0075",1329
276,"BE0081",1318
278,"BE0083",1318
279,"BE0085",1329
281,"BE0091",1318
283,"BE0093",1318
284,"BE0095",1329
286,"BE0101",1318
288,"BE0103",1318
289,"BE0105",1329
291,"BE0111",1318
293,"BE0113",1318
294,"BE0115",1329
296,"BE0121",1318
298,"BE0123",1318
299,"BE0125",1329
301,"BE0131",1318
303,"BE0133",1318
304,"BE0135",1329
306,"BE0141",1318
308,"BE0143",1318
309,"BE0145",1329
311,"BE0151",1318
313,"BE0153",1318
314,"BE0155",1329
316,"BE0161",1318
318,"BE0163",1318
319,"BE0165",1329
321,"BE0167",1318
323,"BE0169",1318
325,"be0201",1319
327,"be0203",1319
328,"be0205",1457
330,"be0207",1319
332,"be0209",1319
334,"be0211",1319
336,"be0213",1319
337,"be0215",1457
339,"be0217",1319
341,"be0219",1319
343,"be0221",1319
345,"be0223",1319
346,"be0225",1457
348,"be0227",1319
350,"be0229",1319
352,"be0231",1319
354,"be0233",1319
355,"be0235",1457
357,"be0241",1319
359,"be0243",1319
360,"be0245",1457
362,"be0251",1319
364,"be0253",1319
380,"be0285",1457
397,"be0321",1319
415,"be0355",1328
433,"be0375",1328
451,"be0403",1315
468,"be0427",1315
486,"be0447",1315
503,"be0475",1328
520,"be0511",1315
537,"be0553",190
553,"be0661",190
568,"be0703",190
586,"BE0801",1297
607,"BE0835",1724
625,"BE0883",1297
653,"BE0915",1724
690,"BE09541",1463
712,"BE1077",1455
730,"BE1097",1455
747,"be1125",1473
764,"be1161",1472
782,"be1195",1473
833,"BE1285",1483
864,"BE1323",1601
881,"be1361",1598
899,"be1381",1598
917,"be1411",1598
937,"BE1533",1297
965,"BE1633",1297
993,"BE1733",1297
1025,"BE1843",1297
1069,"BE1953",1297
1093,"BE2043",1297
1133,"BE2143",1297
1165,"BE2241",1297
1190,"be2507",1318
1210,"be2531",1318
1227,"be2563",1319
1248,"be2587",1319
1267,"be2627",1315
1289,"be2651",1315
1309,"be2691",1319
1326,"BE3031",1297
1342,"BE3071",1297
1361,"BE3121",1297
1376,"BE3161",1297
1387,"BE3200",1323
1396,"BE3300",1324
1423,"be4002",8080
1437,"be4041",8079
1445,"be4081",8079
14903,"or70933",1964
4943,"LS10430",1604
4951,"LS10540",1604
4953,"mk10130",1606
19167,"ws20616",51
19308,"ws24051",12003
19316,"ws24082",122
19324,"ws24133",122
19333,"ws24281",11817
19348,"ws24400",122
19355,"ws24431",12003
19362,"ws24460",122
19369,"ws24482",122
19375,"ws24520",20683
19402,"ws24809",1463
19415,"ws24943",1463
19428,"ws25003",1463
19441,"ws25019",1463
19454,"ws25109",1463
19466,"ws25137",1463
19486,"ws25323",1463
19515,"ws25391",1463
19561,"ws2620",8080
19584,"ws2690",8080
19597,"ws2735",8080
19616,"ws3045",11445
19622,"ws3071",11322
19626,"ws324",63
19647,"ws35010",46179
19655,"ws35030",46179
19668,"ws3520",18777
19683,"ws366",1314
19688,"ws372",18777
19702,"ws390",18777
19708,"ws4201",11817
19712,"ws4215",10953
19717,"ws4235",10953
19786,"ws4585",70
19828,"ws50011",1620
19837,"ws50023m",1620
19845,"ws50041",1620
19853,"ws50055",1618
19862,"ws50103",1620
19870,"ws50121",1620
19879,"ws50133",1620
19887,"ws50151",1620
19895,"ws50165",1618
19904,"ws50313",1620
19912,"ws50331",1620
19920,"ws50345",1618
19929,"ws50363",1620
19937,"ws50411",1620
19947,"ws50431",1620
19957,"ws50451",1620
19985,"ws51810",159
20173,"ws54236",6956
21303,"ws62682",7694
21326,"ws62762",7694
21347,"ws62832",7694
21368,"ws62902",7694
21417,"ws63522",2009
21478,"ws63882",2009
21498,"ws64022",2009
21516,"ws64060",2009
21533,"ws64092",2009
21551,"ws64130",2009
21572,"ws64230",125
21635,"ws64715",8080
21642,"ws64742",51
21649,"ws64763",8079
21656,"ws64785",8080
22313,"AB10502",169
78,"BD1202",46103
499,"be0470",1691
514,"be0500",1691
529,"be0540",84
665,"BE09420",154
15258,"pe1040",33343
15832,"tr01700",169
15847,"tr01715",177
15872,"tr0211",66
15879,"tr0274",66
15889,"tr0286",66
15897,"tr0296",66
15905,"tr0306",66
15917,"tr0322",66
15925,"tr0332",882
15934,"tr0345",882
15942,"tr0361",882
15950,"tr0375",882
15976,"tr0676",181
15987,"tr0692",181
15996,"tr0708",181
16060,"tr11601",882
16070,"tr11611",882
16079,"tr11620",882
16088,"tr11629",882
16097,"tr11708",882
16106,"tr11717",882
16115,"tr11726",882
16124,"tr11805",882
16133,"tr11814",882
16227,"tr17103",182
16236,"tr17120",182
16245,"tr17133",182
16405,"tr2304",540
16414,"tr23105",906
16423,"tr23126",906
16667,"tr30062",1610
16688,"tr327",792
16914,"tr60280",22813
17004,"tr60767",22815
17013,"tr60784",22815
8955,"or25335",743
8980,"or25422",51
8985,"or25432",51
9048,"or26400",70
9066,"or26805",5922
9071,"or26825",5922
9077,"or26855",5922
9081,"or26875",5922
9084,"or26890",159
9112,"or27140",31137
9114,"or27170",159
9120,"or27190",159
9142,"or27285",31137
9144,"or27700",168
9150,"or27730",168
9159,"or27760",159
9168,"or27790",159
9186,"or28010",159
9195,"or28040",159
9211,"OR29002",16449
9229,"OR29070",16204
9245,"or29310",187
9251,"or29322",187
9257,"or29340",187
9261,"or29350",187
9265,"or29360",187
9273,"or29380",187
9279,"or29392",187
9289,"or29420",187
9297,"or29440",187
4891,"KS110",46111
4907,"KS202",46115
4909,"KS210",46116
4911,"KS216",46117
4914,"KS236",46117
4916,"KS242",46115
4918,"KS300",46111
4920,"KS306",46112
4925,"KS640",161
4931,"KS722",46113
4933,"KS820",46111
4934,"KS826",46112
4978,"mk2100",46050
4988,"mk2140",46050
4998,"MK23010",46050
5013,"MK23040",46050
16671,"tr30070",275
16840,"tr480",182
16915,"tr60290",63
17005,"tr60768",22814
17014,"tr60785",22814
7182,"na1610",1602
7184,"na1620",1602
7188,"na1640",1602
7190,"na1650",1602
7273,"na2180",33536
7285,"na232",1307
7312,"na252",1307
7347,"na3080",46177
7459,"na390",46089
7463,"na400",46089
365,"be0255",1457
382,"be0291",1319
399,"be0323",1319
417,"be0357",1315
435,"be0381",1315
452,"be0405",1328
470,"be0429",1315
