product_id,product_code,category_id
5,MK5200,"51,171,6455"
6,MK5530,"51,171,6455"
7,MK5480,"51,171,6455"
112,BD1320,"159,168,10285,33343,46103"
138,BD2000,"46103,46195"
139,BD2001,46122
140,BD2005,46158
174,BD762,"71,1653,46124"
585,BE0800,"223,1300"
1470,bn00042,"6041,8212,30311"
2617,cb00690,"51,122"
2618,cb00700,"61,22830"
2619,cb00710,"51,122"
2838,cb1316,"132,161,169,173,268"
3244,cb31010,"46,83,788,24732,46075"
3309,cb32530,"1467,28335"
3320,cb33630,"46,83,788,5083,24732"
3332,cb33970,"1467,28335"
4210,cb6040,"46,70,83,148,1330,10710"
6500,MK55102,"6041,6517,8212"
6957,MN002,"1291,31136"
7235,na2050,"60,121,123"
7250,na2070,"60,121,123"
7347,na3080,"69,1304,1306,46177"
7349,na3082,"69,1304,1306,46177"
7405,na3410,"69,1304,1306,46177"
7467,na410,"260,1304,1306,46075,46089"
7594,nv1002,"70,401,14476,21950,22964,46167"
7596,nv1005,46189
7599,nv1012,"70,401,14476,21950,22964,46167"
7601,nv1015,46189
7604,nv1022,"70,401,14476,21950,22964,46167"
7606,nv1025,46189
7609,nv1032,"70,401,14476,21950,22964,46167"
7611,nv1035,46189
7613,nv1042,"70,401,14476,21950,22964,46167"
7615,nv1045,46189
7616,nv105,46189
7618,nv1052,"70,401,14476,21950,22964,46167"
7620,nv1055,46189
7622,nv1062,"70,401,14476,21950,22964,46167"
7624,nv1065,46189
7626,nv1072,"70,401,14476,21950,22964,46167"
7628,nv1075,46189
7635,nv115,46189
7639,nv125,46189
7643,nv135,46189
7647,nv145,46189
7649,nv1502,"71,401,22964,46167,46211"
7651,nv1505,46189
7654,nv1512,"71,401,22964,46167,46211"
7656,nv1515,46189
7659,nv1522,"71,401,22964,46167,46211"
7661,nv1525,46189
7664,nv1532,"71,401,22964,46167,46211"
7666,nv1535,46189
7668,nv1542,"71,401,22964,46167,46211"
7670,nv1545,46189
7671,nv155,46189
7673,nv1552,"71,401,22964,46167,46211"
7675,nv1555,46189
7679,nv165,46189
7683,nv175,46189
7687,nv185,46189
7691,nv195,46189
7695,nv2005,46189
7699,nv205,46189
7703,nv215,46189
7707,nv225,46189
7711,nv235,46189
7715,nv2505,46189
7719,nv315,46189
7723,nv325,46189
7731,nv505,46189
7735,nv515,46189
7739,nv525,46189
7743,nv535,46189
7747,nv545,46189
7751,nv555,46189
7753,nv802,"70,401,14476,21950,22964,46167"
7755,nv805,46189
7757,nv812,"70,401,14476,21950,22964,46167"
7759,nv815,46189
7761,nv822,"70,401,14476,21950,22964,46167"
7763,nv825,46189
7765,nv832,"70,401,14476,21950,22964,46167"
7767,nv835,46189
7769,nv842,"70,401,14476,21950,22964,46167"
7771,nv845,46189
7773,nv852,"70,401,14476,21950,22964,46167"
7775,nv855,46189
7777,nv862,"70,401,14476,21950,22964,46167"
7779,nv865,46189
7781,nv872,"70,401,14476,21950,22964,46167"
7783,nv875,46189
7787,nv905,46189
7791,nv915,46189
7795,nv925,46189
7799,nv935,46189
8144,OR1000,"141,144"
8333,OR1010,"141,144"
8375,OR1020,"141,144"
8404,OR1030,"141,144"
8439,OR1040,"141,144"
8474,OR1050,"141,144"
8491,OR1060,"141,144"
8511,OR1080,"141,144"
8516,OR1090,"141,144"
8521,OR1100,"141,144"
8526,OR1110,"141,144"
8531,OR1120,"141,144"
8548,OR1170,"141,144"
8553,OR1180,"141,144"
8558,OR1190,"141,144"
8563,OR1200,"141,144"
8879,or20920,1463
8880,or20922,1463
8881,or20925,1463
9023,or25800,"183,185,187"
9336,or32040,"46,148,149,171,260,1969,1970,46075"
9341,or32052,"46,148,149,260,1969,46075,46089"
9556,or34390,"743,1968,1970,6883,6884,6885,6886,6887"
13759,or56136,"46,69,83,147,148,1638,24605,46075,46076"
13811,or56234,"46,70,83,147,148,1638,10710,24605"
13827,or56264,"46,70,83,147,148,1638,24605"
13893,or56505,1636
13896,or56515,1636
13899,or56525,1636
13902,or56535,1636
14311,or59740,"70,7938,7951,8142,13906,14476,22964,46222"
14312,or59742,"70,7938,7951,8142,10710,13906,14476,22964"
14427,or59992,"7938,7951,8142,13906,22964"
14567,or64480,"1291,31136"
14568,or64490,"1291,31136"
16647,tr30030,"275,1470,46047"
16649,tr30032,"275,1470,1610,46047"
16653,tr30040,"275,1470,46047"
16655,tr30042,"275,1470,1610,46047"
16659,tr30050,"275,1470,46047"
16661,tr30052,"275,1470,1610,46047"
16665,tr30060,"275,1470,46047"
16667,tr30062,"275,1470,1610,46047"
16671,tr30070,"275,1470,46047"
16673,tr30072,"275,1470,1610,46047"
16677,tr30080,"275,1470,46047"
16679,tr30082,"275,1470,1610,46047"
16838,tr478,"60,61,882"
16839,tr479,"60,61,882"
16871,tr60050,"22830,22832,46236"
16872,tr60051,"22830,22832,46236"
16873,tr60052,"540,22830,22831,22832,46236"
16874,tr60053,"540,22830,22831,22832,46236"
16997,tr60760,"22814,22815"
16998,tr60761,"22814,22815"
16999,tr60762,"22814,22815"
17000,tr60763,"22814,22815"
17001,tr60764,"22814,22815"
17002,tr60765,"22814,22815"
17003,tr60766,"22814,22815"
17004,tr60767,"22814,22815"
17005,tr60768,"22814,22815"
17006,tr60769,"22814,22815"
17007,tr60770,"22814,22815"
17008,tr60771,"22814,22815"
17009,tr60780,"22814,22815"
17010,tr60781,"22814,22815"
17011,tr60782,"22814,22815"
17012,tr60783,"22814,22815"
17013,tr60784,"22814,22815"
17014,tr60785,"22814,22815"
17015,tr60786,"22814,22815"
17016,tr60787,"22814,22815"
17017,tr60788,"22814,22815"
17018,tr60789,"22814,22815"
17019,tr60790,"22814,22815"
17020,tr60791,"22814,22815"
17021,tr60840,"22814,22815"
17022,tr60841,"22814,22815"
17023,tr60842,"22814,22815"
17024,tr60843,"22814,22815"
17025,tr60844,"22814,22815"
17026,tr60845,"22814,22815"
17027,tr60846,"22814,22815"
17028,tr60847,"22814,22815"
17029,tr60848,"22814,22815"
17030,tr60849,"22814,22815"
17031,tr60850,"22814,22815"
17032,tr60851,"22814,22815"
17033,tr60852,"22814,22815"
17034,tr60853,"22814,22815"
17035,tr60854,"22814,22815"
17036,tr60855,"22814,22815"
17037,tr60856,"22814,22815"
17038,tr60857,"22814,22815"
17039,tr60858,"22814,22815"
17040,tr60859,"22814,22815"
17041,tr60860,"22814,22815"
17520,tr62630,"22830,22832,46236"
17521,tr62631,"540,22832,46236"
17522,tr62632,"540,22830,22832,46236"
17525,tr62640,"540,22830,22831,22832,46236"
17526,tr62641,"540,22830,22831,22832,46236"
17527,tr62642,"540,22830,22831,22832,46236"
17528,tr62643,"540,22830,22831,22832,46236"
17529,tr62644,"540,22830,22831,22832,46236"
17542,tr62670,"22830,22832,46236"
17543,tr62671,"22830,22832,46236"
17625,tr62820,"22830,22832,46236"
17626,tr62821,"22830,22832,46236"
17627,tr62822,"22830,22832,46236"
17628,tr62823,"22830,22832,46236"
17629,tr62824,"22830,22832,46236"
17630,tr62825,"22830,22832,46236"
17631,tr62830,"22832,22834,46236"
17633,tr62850,"22830,22832,46236"
17634,tr62851,"22830,22832,22834,46236"
17635,tr62852,"22830,22832,46236"
17640,tr62882,"22832,22833,46236"
17642,tr62890,"22830,22834,46236"
17643,tr62891,"22832,22834,46236"
17644,tr62892,"22832,22834,46236"
17645,tr62893,"22833,22834,46236"
17646,tr62900,"22830,22834,46236"
17647,tr62901,"22832,22834,46236"
17648,tr62902,"22832,22834,46236"
17649,tr62903,"22833,22834,46236"
17650,tr62904,"22832,22834,46236"
17651,tr62905,"22832,22834,46236"
17652,tr62906,"22833,22834,46236"
17653,tr62907,"61,22832,22834,46236"
17654,tr62908,"22833,22834,46236"
17655,tr62910,"22830,22834,46236"
17656,tr62911,"22832,22834,46236"
17657,tr62912,"22832,22834,46236"
17658,tr62913,"22833,22834,46236"
17659,tr62914,"22832,22834,46236"
17660,tr62915,"22832,22834,46236"
17661,tr62916,"22833,22834,46236"
17662,tr62917,"22832,22834,46236"
17663,tr62918,"22833,22834,46236"
17664,tr62919,"22833,22834,46236"
17665,tr62920,"22832,22834,46236"
17666,tr62921,"22833,22834,46236"
17667,tr62930,"22830,22834,46236"
17668,tr62931,"22831,22834,46236"
17669,tr62932,"22832,22834,46236"
17670,tr62933,"22833,22834,46236"
17671,tr62934,"22831,22834,46236"
17672,tr62935,"22832,22834,46236"
17673,tr62936,"22833,22834,46236"
17674,tr62937,"22832,22834,46236"
17675,tr62940,"22832,22834,46236"
17676,tr62941,"22833,22834,46236"
17677,tr62942,"22831,22834,46236"
17678,tr62943,"22832,22834,46236"
17679,tr62944,"22833,22834,46236"
17680,tr62945,"22832,22834,46236"
18089,ws03532,"46,148,171,260,745"
18092,ws03540,"46,70,148,171,260,745,11508,14475,46222"
18094,ws03542,"46,70,148,171,260,745,14475"
18097,ws03550,"46,148,171,260,745,7260,11508,14480,46223"
18099,ws03552,"46,148,260,745,7260"
18306,ws06592,"70,401,14476,21950,22964,33010"
18310,ws06602,"70,401,14476,21950,22964,33010"
18313,ws06612,"70,401,14476,21950,22964,33010"
18316,ws06622,"71,401,22964,33010,46211"
18319,ws06632,"70,401,14476,21950,22964,33010"
18322,ws06642,"401,22964,33010"
19584,ws2690,"51,121,154,30019"
19585,ws2691,1463
19748,ws4500,"46,148,260,1464,6041,46075"
19762,ws4532,"46,148,260,1464,6041"
19786,ws4585,1466
20234,ws54352,"1653,6956,6958,24605"
20243,ws54372,"1653,1963,6956,6957,13659,22964,24605"
21466,ws63860,"171,2009,14475,34521"
21471,ws63870,"171,2009,14475,34521"
21476,ws63880,"171,2009,14475,34521"
21481,ws63890,"171,2009,14475,34521"
22314,AB10504,"161,169,176"
